software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
Graphene,ACES,Graphene is a Python library for building complex pipelines of batch and stream data processing. It allows for the creation of highly scalable and efficient workflows for data transformation and analysis.,"Batch and stream data processing, Creation of complex data processing pipelines, Scalable and efficient workflows, Data transformation and analysis","data processing, workflow automation, Python library","Data Analytics, Genomics","Data Science, Bioinformatics",Python Library,Data Processing,,,
mpiBench,Rockfish,mpiBench is a software tool designed for benchmarking MPI (Message Passing Interface) performance on various parallel computing systems. It allows users to assess and compare the performance of different MPI implementations on their respective hardware configurations.,"Benchmarking MPI performance, Comparison of MPI implementations, Analysis of performance on parallel computing systems","MPI, Benchmarking, Performance Analysis, Parallel Computing",Parallel Computing,Computer Science,Performance Evaluation,Benchmarking Tool,,,
protobuf,"Anvil, ACES","Protocol Buffers, also known as protobuf, is a language-neutral, platform-neutral, extensible mechanism for serializing structured data. It enables efficient data interchange and communication between different applications and systems.","Data serialization, Cross-platform compatibility, Efficient data interchange","serialization, interoperability, data exchange",Data communication,Computer Science,Serialization,Library,,,
Wayland,ACES,"Wayland is a protocol for a compositor to talk to its clients and a library for the reference implementation of that protocol. It serves as an alternative to the X Window System, providing a simpler and more efficient approach to handling graphical environments in Linux and Unix systems.","Compositor-client protocol, Modern display server technology, Decoupling compositor from windowing system","Display Server Protocol, Linux Graphics, Compositor Technology",Graphics Systems,Computer Science,Framework,Display Protocol,,,
hmmer,"ACES, Bridges-2, Rockfish",HMMER is a software suite for biological sequence analysis that utilizes hidden Markov models (HMMs) to identify and align sequences. It is commonly used for searching sequence databases for homologs and detecting sequence similarities.,"Utilizes hidden Markov models for sequence analysis, Identification and alignment of biological sequences, Searching for homologs and detecting sequence similarities","Bioinformatics, Sequence Analysis, Hidden Markov Models",Sequence Alignment,Computational Biology,Biological Sequence Tool,Analysis Software,,,
FLTK,"ACES, Rockfish","FLTK (Fast, Light Toolkit) is a cross-platform GUI toolkit that provides a set of widgets and tools for developing graphical user interfaces in applications. It offers a lightweight and efficient solution for creating interactive graphical interfaces.","Graphical user interface widgets, Portability across different platforms, Efficient drawing and rendering tools, Event-driven programming model, Support for OpenGL integration","GUI toolkit, cross-platform development, graphical user interfaces, interactive applications",Graphical User Interfaces,Computer Science,Open Source,GUI Toolkit,,,
MATLAB Compiler Runtime (MCR),,"MATLAB Compiler Runtime (MCR) is a standalone set of shared libraries that enables the execution of MATLAB files or applications, without having MATLAB installed. It allows end-users to run applications compiled with MATLAB Compiler or deploy MATLAB algorithms as Excel add-ins and web applications.","Enables execution of MATLAB applications without MATLAB installed, Supports deployment of MATLAB algorithms as Excel add-ins and web applications, Provides support for running compiled MATLAB files","MATLAB, Runtime, Shared Libraries, Execution, Deployment",Numerical Analysis,Computational Science,Standalone Libraries,Runtime Environment,,,
nsync,ACES,nsync is a command-line tool written in Python for synchronizing files and directories between two locations. It is particularly useful for keeping data up to date across different systems or locations.,"Bi-directional synchronization of files and directories, Checksum comparison for efficient updating, Ability to exclude specific files or directories, Support for dry runs to preview changes","file synchronization, data management, command-line tool",,,command-line tool,utility,,,
posix2ime,Delta,Posix2ime is a tool that converts POSIX timestamp values to human-readable date and time formats. It aids in interpreting and displaying epoch timestamps in a more accessible manner.,"Epoch timestamp conversion, Date-time formatting, Human-readable output","time conversion, POSIX timestamp, date-time formatting",Data processing,Computer Science,Conversion,Tool,,,
libidn2,,libidn2 is a library that implements internationalized domain name (IDN) encoding and decoding functions. It provides support for handling domain names with non-ASCII characters according to the IDNA2008 specification.,"Internationalized domain name (IDN) support, IDNA2008 encoding and decoding, Non-ASCII characters handling, Domain name manipulation functions","internationalization, domain names, IDNA2008",Internet Standards,Computer Networks,Internationalization,Library,,,
libxc,"OOKAMI, ACES, Rockfish","libxc is a library for exchange-correlation functionals in density-functional theory calculations. It provides a collection of exchange-correlation functionals used in electronic structure calculations, enabling researchers to perform accurate computational chemistry simulations.","Exchange-correlation functionals, Density-functional theory calculations, Support for electronic structure simulations, Functional library for computational chemistry","exchange-correlation, density-functional theory, computational chemistry",Computational Chemistry,Chemistry,Quantum Chemistry,Library,,,
LZ4,"OOKAMI, ACES","LZ4 is a fast compression algorithm and tool that provides high-speed compression and decompression, designed for efficiency and low latency. It is widely used for real-time compression needs, data storage, and communication protocols.","High-speed compression, Efficient data compression, Low latency compression and decompression, Real-time compression support","compression algorithm, high-speed compression, low latency",Compression Algorithms,Data Compression,Compression,Tool,,,
spython,ACES,spython is a command-line interface tool that facilitates the creation of Python virtual environments using the conda package manager.,"- Provides a simple and efficient way to create isolated Python environments., - Integration with conda for managing packages and dependencies., - Allows for easy activation and deactivation of virtual environments.","Python, conda, virtual environment, command-line interface",,,Tool,Development Tools,https://singularityhub.github.io/singularity-cli/,https://singularityhub.github.io/singularity-cli/,"https://docs.sylabs.io/guides/3.0/user-guide/,https://singularity.lbl.gov/docs-docker,https://docs.sylabs.io/guides/3.7/user-guide/"
YACS,ACES,"YACS (Yet Another Configuration System) is a lightweight, Python-based configuration management system used for handling configuration files and settings in applications. It provides a simple and structured way to manage and access configuration parameters in Python projects.","Configuration file management, Parameter handling, Integration with Python applications","Configuration Management, Python Library, Settings Control",Configuration Systems,Computer Science,Library,Configuration Tool,,,
GeneMark,,GeneMark is a gene prediction software that identifies protein-coding genes in microbial genomes.,"Gene prediction, Microbial genomes, Protein-coding genes identification","Gene prediction, Bioinformatics, Microbial genomics","Genomics, Microbiology",Bioinformatics,Bioinformatics tool,Gene prediction,,,
GObject,,"GObject is a fundamental and versatile object-oriented framework in the GLib library of GTK (GIMP Toolkit). It provides the core object system for building software components in C, offering features like dynamic typing, inheritance, properties, and signals for versatile programming.","Object-oriented framework in GLib, Core object system for software components, Dynamic typing, inheritance, properties, and signals","Object-oriented programming, Software components",,,Library,Object-Oriented Framework,,,
ColabFold,ACES,ColabFold is a Google Colab notebook for protein structure prediction using AlphaFold2. It provides an easy-to-use interface for researchers to utilize the powerful AlphaFold2 model for predicting protein structures.,"Utilizes AlphaFold2 model for protein structure prediction, Runs on Google Colab platform, Easy-to-use interface","Protein Structure Prediction, AlphaFold2, Google Colab, Bioinformatics",Structural Biology,Bioinformatics,Web-based tool,Proteomics,,,
C++,Bridges-2,"C++ is a high-level programming language developed by Bjarne Stroustrup as an extension of the C programming language. It is known for its efficiency, flexibility, and performance, making it widely used in developing system software, game engines, desktop applications, and more.","Strongly typed language, allows object-oriented programming, supports generic programming through templates, provides low-level memory manipulation, offers standard template library (STL) for data structures and algorithms","programming language, software development, system programming",,,Compiler,Programming language,https://cplusplus.com/,https://devdocs.io/cpp/,"https://cplusplus.com/doc/tutorial/ , https://www.youtube.com/watch?v=Rub-JsjMhWY , https://www.learncpp.com/ "
PDToolkit,"Stampede-2, KyRIC",PDToolkit is a bioinformatics tool specifically designed for the analysis of protein-DNA complexes. It provides a range of functionalities to analyze the interactions between proteins and DNA molecules.,"Analysis of protein-DNA complexes, Visualization of protein-DNA interactions, Identification of key amino acid residues in binding, Prediction of DNA-binding residues in proteins","bioinformatics, protein-DNA interactions, molecular biology, structural bioinformatics",Protein-DNA interactions,Biochemistry,Analysis tool,Bioinformatics tool,,,
OpenSceneGraph,ACES,"OpenSceneGraph is an open-source high-performance 3D graphics toolkit. It is used for creating applications such as virtual reality, flight simulation, scientific visualization, and games.","Cross-platform support, High-performance rendering, Scene graph architecture, Support for multiple file formats, Integration with other graphics libraries","graphics, 3D, visualization, simulation, games",,,Toolkit,Graphics Library,,,
xprop,ACES,"xprop is a utility in the X Window System that allows users to retrieve and display properties of X windows. It provides a way to query various attributes of application windows, such as window title, class, size, position, and other metadata, aiding in window management and debugging tasks.","Displaying window properties and attributes, Retrieving metadata of X windows and applications, Useful for window management and debugging, Command-line interface for querying X window properties","X Window System, window properties, debugging tool",,,Window Property Tool,Utility,,,
ADCIRC,Stampede-2,"ADCIRC (ADvanced CIRCulation) is a numerical model used for simulating storm surges, coastal flooding, and ocean circulation phenomena. It is widely employed in coastal engineering and hazard assessment to predict water levels, wave dynamics, and flooding patterns under various scenarios.","Storm surge modeling, Coastal flooding simulation, Ocean circulation predictions","Coastal Modeling, Storm Surge Simulation, Ocean Circulation",Coastal Engineering,Oceanography,Tool,Modeling Software,https://adcirc.org/,,
pydantic,ACES,"Pydantic is a data validation and parsing library for Python, designed to provide runtime type checking and data validation using Python type hints. It offers a flexible and declarative way to define data schemas, validate input data, and ensure data consistency in Python applications.","Data validation, Type checking, Schema definition","Python, data validation, type hints",Data Validation,Computer Science,Validation,Library,,,
ArcGIS,DARWIN,"ArcGIS is a geographic information system (GIS) software suite developed by Esri for creating, visualizing, analyzing, and managing spatial data. It offers powerful mapping and spatial analytics capabilities for various industries and applications.","Geographic information system software, Mapping, visualization, analysis, and data management, Spatial analytics capabilities","GIS software, Spatial data analysis",,,Suite,GIS,https://www.esri.com/en-us/arcgis/about-arcgis/overview,https://developers.arcgis.com/documentation/,https://learn.arcgis.com/en/projects/get-started-with-arcgis-pro/
extrae,KyRIC,Extrae is a performance analysis tool for parallel and distributed applications. It provides insights into the behavior and performance of applications by capturing traces of their executions.,"Performance analysis, Parallel applications, Distributed applications, Trace capture","performance analysis, execution tracing",Parallel Computing,Computer Science,Tool,Performance Analysis Tool,,,
Guppy,Bridges-2,"Guppy is a memory analysis tool for Python that helps developers detect memory-related problems in their code. It provides insights into memory usage, leaks, and optimizations.","Memory analysis, Memory profiling, Memory leak detection","Python, Memory Analysis, Profiling",Memory Management,Computer Science,Memory Profiler,Tool,,,
dos2unix,Delta,"dos2unix is a command-line utility for converting text files from DOS/Windows (
) line endings to Unix/Linux (
) line endings. It helps in ensuring proper text file compatibility and formatting when transferring files between different systems.","Conversion of line endings from DOS to Unix format, Preservation of file content, Batch processing of multiple files, Support for various text file formats, Cross-platform compatibility","text file conversion, line ending manipulation, command-line utility, file format compatibility",File Management,Computer Science,Open Source,Utility Tools,,,
Cactus,Rockfish,"Cactus is a bioinformatics software tool specifically designed for genome alignment and comparative genomics analysis, especially focusing on the detection of conserved regions and structural variations across different species.","Genome alignment algorithms for comparative genomics studies, Identification of conserved regions and evolutionary breakpoints, Detection of structural variations and rearrangements in genomes, Visualization tools for exploring comparative genomic results","bioinformatics, genome alignment, comparative genomics",Comparative Genomics,Genomics,Software,Bioinformatics Tool,https://www.cactuscode.org/,https://www.cactuscode.org/documentation/,
aiohttp,ACES,"aiohttp is a popular asynchronous framework for building web applications and APIs in Python. It leverages the asynchronous I/O capabilities of Python to handle concurrent requests efficiently, making it well-suited for high-performance web services and real-time applications.","Asynchronous web server, WebSocket support, Request routing and middleware","Web Framework, Asynchronous Programming, Python Library",Web Development,Computer Science,Library,Web Framework,https://docs.aiohttp.org/en/stable/,https://docs.aiohttp.org/en/stable/,"https://aiohttp-demos.readthedocs.io/en/latest/tutorial.html , https://www.youtube.com/watch?v=Z784Mwm4VBg"
libXinerama,Rockfish,"libXinerama is a library that provides support for the Xinerama extension in the X Window System. It allows applications to obtain information about the available screens and monitor layout in a multi-monitor X11 environment, enabling better handling of multiple displays.","Xinerama extension support for multi-monitor setups, Retrieval of screen attributes and monitor information, Enhanced capabilities for managing multiple X displays","Xinerama Extension, Multi-Monitor Support, X Window System",Multiple Display Management,Computer Graphics,Windowing System Extension,Library,,,
cutadapt,"Bridges-2, Rockfish","Cutadapt is a tool designed for removing adapter sequences, primers, poly-A tails, and other undesired sequences from high-throughput sequencing reads. It is widely used in bioinformatics for preprocessing next-generation sequencing data.","Adapter trimming and removal, Poly-A tail removal, Quality trimming and read filtering, Support for various sequencing platforms, Customizable and versatile trimming options","sequence preprocessing, adapter trimming, high-throughput sequencing, bioinformatics analysis",Sequence Analysis,Genomics,Open Source,Bioinformatics Tools,https://cutadapt.readthedocs.io/en/stable/,https://cutadapt.readthedocs.io/en/stable/,https://cutadapt.readthedocs.io/en/stable/guide.html
expecttest,ACES,"ExpectTest is a Python library for unit testing with expected data. It allows users to define unit tests using a syntax that includes the expected output alongside the function call, making it easier to write and maintain tests with complex data structures or multiple return values.","Define unit tests with expected output, Write tests using a simple syntax, Supports complex data structures and multiple return values, Integrates with existing test frameworks like pytest","Python library, Unit testing, Expected output",Software Development,Computer Science,Library,Testing tool,,,
bbftp,Anvil,bbFTP is a software that enables high-performance data transfers over networks. It is particularly designed for efficiently handling large-scale data transfers.,"Optimized for fast data transfer speeds, Support for parallel and multi-stream transfers, Secure and reliable transfers, Bandwidth throttling capabilities, Checksum verification","data transfer, networking, high-performance computing, data management",Data Management,Computational Science,Open Source,Data Transfer,,,
Abseil,ACES,"Abseil is a collection of C++ library code developed by Google designed to augment the C++ standard library with additional functionality and features. It provides common tools that are needed by a wide variety of software projects, ensuring quality and efficiency in C++ development.","C++ library code collection, Augments C++ standard library with additional functionality, Developed by Google for quality C++ development","C++ library, Google library",,,Development Tool,Library,https://abseil.io/,https://abseil.io/docs/cpp/guides/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/"
OpenMM,"ACES, Rockfish","OpenMM is a high performance toolkit for molecular simulation. It is designed for use in both research and education, with an emphasis on efficiency and extensibility.",1. High performance molecular dynamics simulations. 2. Support for a wide range of molecular dynamics force fields. 3. Customizable integrators and algorithms. 4. GPU acceleration for enhanced performance. 5. Python API for ease of use and integration.,"molecular dynamics, simulation, GPU acceleration",Biophysics,Biochemistry,Toolkit,Molecular dynamics simulation,,,
htslib,"ACES, Bridges-2, Rockfish, Rockfish","htslib is a software library for manipulating and interacting with high-throughput sequencing (HTS) data files, such as SAM (Sequence Alignment/Map) and BAM (Binary Alignment/Map) files. It provides tools for efficient access, compression, and analysis of genomic data.","Manipulation and access to high-throughput sequencing data files, Support for SAM and BAM file formats, Efficient data compression and retrieval","Genomic Data, Bioinformatics, Sequence Analysis",Sequence Alignment,Genomics,Genomic Data Tool,Library,,,
Mpi4py,"OOKAMI, DARWIN, ACES",Mpi4py is a Python package that allows Python programs to run in parallel on multiple processors using the Message Passing Interface (MPI) standard.,"Enables parallel computing in Python using MPI, Allows communication and coordination between processes, Supports high-performance computing and distributed memory processing","Python library, Parallel computing, MPI standard, High-performance computing",Parallel and Distributed Computing,Computer Science,Parallel Processing,Library,,,
lldb,OOKAMI,"LLDB is a debugger that is part of the LLVM project. It provides debugging capabilities for various programming languages and platforms, offering features like multi-threaded debugging, dynamic code generation, and integration with various IDEs and build systems.","Multi-language debugging, Multi-threaded debugging support, Dynamic code generation capabilities, Integration with IDEs and build systems","debugger, multi-language support, code debugging",Debugging,Software Development,Debugger,Tool,,,
pkgconf,"ACES, Rockfish","pkgconf is a program which helps to configure compiler and linker flags for development frameworks. It replaces the ubiquitous pkg-config utility, and is designed to be faster, simpler, and more robust.","pkgconf helps in configuring compiler and linker flags, supports specifying cflags, libs, and other metadata, provides a simple and efficient alternative to pkg-config, supports cross-compilation, multiarch installations, and per-package cflags.","pkg-config alternative, compiler flags, linker flags",,,Utility,Development Tools,https://github.com/pkgconf/pkgconf,https://github.com/pkgconf/pkgconf,https://autotools.info/pkgconfig/
UMFPACK,Stampede-2,"UMFPACK is a suite of sparse matrix solvers for large-scale numerical computations, particularly focusing on solving sparse linear systems efficiently. It offers a range of direct and iterative solvers optimized for sparse matrices arising in diverse scientific and engineering applications.","Direct and iterative solvers for sparse linear systems, Support for symmetric and unsymmetric matrices, Efficient handling of large-scale sparse matrices, Optimized for numerical computations in scientific simulations","sparse matrix solver, numerical computation, scientific computing tool",Linear Algebra,Numerical Analysis,Sparse Solver,Library,https://people.engr.tamu.edu/davis/suitesparse.html,https://users.encs.concordia.ca/~krzyzak/R%20Code-Communications%20in%20Statistics%20and%20Simulation%202014/Zubeh%F6r/SuiteSparse/UMFPACK/Doc/UserGuide.pdf,https://users.encs.concordia.ca/~krzyzak/R%20Code-Communications%20in%20Statistics%20and%20Simulation%202014/Zubeh%F6r/SuiteSparse/UMFPACK/Doc/QuickStart.pdf
Fortran,"DARWIN, Bridges-2","Fortran, short for Formula Translation, is a general-purpose, imperative programming language that is especially suited to numeric computation and scientific computing. Originally developed by IBM in the 1950s, Fortran is one of the earliest high-level programming languages.","Designed for numeric and scientific computing, Efficient handling of arrays and complex calculations, Supports parallel computing and high-performance computing, Strongly typed and compiled language","Programming Language, Numeric Computation, Scientific Computing, High-Performance Computing",Numerical Analysis,Computational Science,Compiler,General Purpose,,,
likwid,"OOKAMI, KyRIC","Likwid (Like I Knew What I am Doing) is a performance monitoring and benchmarking tool for high-performance computing (HPC) systems. It offers capabilities for measuring hardware performance counters, memory bandwidth, cache utilization, and other metrics to analyze and optimize application performance.","Performance monitoring, Hardware performance counters measurement, Memory bandwidth analysis, Cache utilization profiling","performance monitoring, benchmarking, HPC systems",High-Performance Computing,Computer Science,Performance Analysis,Tool,,,
gmp,"OOKAMI, Anvil, ACES, Rockfish","The GNU Multiple Precision Arithmetic Library (GMP) is a free library for arbitrary precision arithmetic, operating on signed integers, rational numbers, and floating point numbers.","Supports multiple arithmetic operations on numbers with arbitrarily large precision, Efficiently handles integers, rational numbers, and floating-point numbers, Highly optimized for performance","Mathematics, Arbitrary Precision Arithmetic, Library",Number Theory,Mathematics,Arithmetic,Library,,,
Dream3D,Rockfish,"Dream.3D is an open-source, extensible, cross-platform and general-purpose quantitative 3D microstructure analysis and visualization toolkit designed for any materialistic research. It is specifically created for performing digital microstructure analysis in materials and biology sciences. Dream.3D provides a comprehensive data analysis environment for solving scientific problems in 3D materials characterization.","Quantitative 3D microstructure analysis, Visualization toolkit, Digital microstructure analysis, Cross-platform functionality, Open-source and extensible","3D analysis, Microstructure analysis, Data visualization, Materials science, Biology",Materials characterization,Materials Science,Quantitative analysis tool,Data analysis and visualization,,,
CFITSIO,ACES,"CFITSIO is a library for reading and writing data in FITS (Flexible Image Transport System) format commonly used in astronomy and astrophysics. It provides tools for efficient access to FITS files, data manipulation, and analysis for astronomical data.","Library for reading and writing FITS data, Efficient access to FITS files, Supports data manipulation and analysis for astronomy","FITS data library, Astronomy data analysis",Data Handling,Astronomy,Utility,Library,https://heasarc.gsfc.nasa.gov/fitsio/fitsio.html,https://heasarc.gsfc.nasa.gov/fitsio/c/c_user/cfitsio.html,"https://fits.gsfc.nasa.gov/fits_libraries.html#c_cfitsio, https://heasarc.gsfc.nasa.gov/docs/software/fitsio/cexamples.html"
XGBoost,ACES,"XGBoost (Extreme Gradient Boosting) is a scalable and optimized machine learning library known for its speed and performance in gradient boosting algorithms. It is widely used for regression, classification, and ranking tasks, providing high accuracy and efficiency in predictive modeling.","Gradient boosting machine learning, Performance optimization, Parallel and distributed computing","Machine Learning, Gradient Boosting, Optimization",Machine Learning,Computer Science,Library,Machine Learning Library,,,
RSEM,Rockfish,RSEM (RNA-Seq by Expectation-Maximization) is a software package for estimating gene and isoform expression levels from RNA-Seq data. It utilizes the Expectation-Maximization algorithm to estimate expression levels and provides features for transcript quantification and differential expression analysis.,"Gene expression estimation, Isoform expression quantification, Differential expression analysis","RNA-Seq analysis, gene expression, transcript quantification",Transcriptomics,Bioinformatics,Expression Analysis,Tool,,,
Tabix,Rockfish,"Tabix is a tool and file format for indexing and querying large tab-delimited text files like genomic variants in Variant Call Format (VCF). It enables fast retrieval of genomic intervals and regions from indexed files, allowing efficient access to specific data entries without loading entire files into memory.","Indexing text files, Genomic data querying, Interval retrieval","file indexing, genomic data, data querying",Genomic Data Analysis,Bioinformatics,Data Indexing,Tool,https://www.htslib.org/doc/tabix.html,https://www.htslib.org/doc/tabix.html,
nlohmann,,"nlohmann/json is a modern JSON library for C++. It has minimal dependencies, a simple interface, seamless interoperability, and supports modern C++ features.","1. Easy to use interface for JSON manipulation
2. Header-only library with no external dependencies
3. Supports modern C++ features like move semantics and initializer lists
4. High level of interoperability with other data structures
5. Extensive documentation and active community support","JSON library, C++ library, Modern C++",Software Development,Computer Science,JSON Parser,Library,,,
Ncdu,"OOKAMI, Bridges-2, Rockfish","Ncdu (NCurses Disk Usage) is a disk usage analyzer with an ncurses interface. It is designed to find space hogs on a remote server where you don't have an entire graphical setup available, but it is a useful tool on local setups as well.","Disk usage analysis, Ncurses interface, Finding space-consuming files","Disk Usage, Analyzer, Ncurses",,,System Tool,Utility,,,
go,"OOKAMI, ACES, Rockfish","Go, also known as Golang, is a statically typed, compiled programming language designed for efficient and scalable software development. It is known for its simplicity, readability, and concurrency support.","Statically typed language with efficient compilation, Concurrent programming support with goroutines, Simplified and readable syntax","Programming Language, Concurrent Programming, Efficiency",Programming Languages,Computer Science,Compiler,Programming Language,,,
Parabricks,ACES,"Parabricks is a software suite that provides GPU-accelerated bioinformatics analysis tools for genomics research, enabling rapid analysis of next-generation sequencing (NGS) data.","1. GPU-accelerated bioinformatics analysis
2. Optimized for genomics research and NGS data
3. Rapid analysis of large genomic datasets
4. High performance computing capabilities
5. Support for variant calling, genome assembly, and more","bioinformatics, NGS data analysis, GPU-acceleration, genomics",Bioinformatics,Genomics,Analysis software,Bioinformatics tools,,,
LibXML,,"LibXML is a C library for parsing, validating, and creating XML documents. It provides a robust set of functions for working with XML data, supporting XPath, XPointer, XInclude, and other XML-related technologies.","Parsing and validating XML documents, Creating XML documents, Support for XPath and XPointer, XInclude processing, Robust XML functionality","XML library, Parsing, Validation","XML Parsing, Data Validation","Computer Science, Data Science",Data Processing,Library,,,
MySQL,"Jetstream2, Rockfish","MySQL is an open-source relational database management system (RDBMS) that uses SQL (Structured Query Language). It is commonly used for web and application development, providing a reliable, scalable, and secure database solution.","Support for wide range of platforms, ACID-compliant, Replication support, Full-text search, Stored procedures, Triggers, Views, Transactions","Database Management System, Relational Database, Open-Source, SQL",,,Software,Database Management System,,,
Snappy,ACES,Snappy is a fast compression/decompression library written in C++ featuring a very high compression ratio and speed.,"High compression ratio, High speed compression and decompression, Optimized for speed and efficiency, Supports various compression formats including Snappy, Zlib, Gzip, etc.","Compression, Data Processing, Efficiency",Data Compression,Computer Science,Compression,Library,https://github.com/google/snappy,https://github.com/google/snappy,"https://stackoverflow.com/questions/9297579/servlet-context-and-singleton-object,https://csharp.hotexamples.com/examples/-/Snappy/Decompress/php-snappy-decompress-method-examples.html"
TACC (Texas Advanced Computing Center),,The Texas Advanced Computing Center provides advanced computing resources and services to enable leading-edge research and technological advancements.,"High performance computing clusters, Data storage systems, Cloud computing services, Visualization tools, Scientific software and libraries, Consultation and training services","advanced computing, research support, high performance computing, data storage, visualization, scientific software","scientific research, engineering, data analysis, computational biology, environmental studies, materials science",multi-disciplinary,computational resource,research infrastructure,,,
libogg,ACES,"libogg is a library for managing the Ogg container format, which is commonly used for storing multimedia content like audio and video. It provides functions for Ogg stream multiplexing and demultiplexing, enabling efficient handling of multimedia data.","Ogg container format management, Multiplexing and demultiplexing streams, Support for multimedia content, Efficient multimedia data handling","Ogg format, multimedia, stream processing",Data Containers,Multimedia,Multimedia Handling,Library,,,
R,"Jetstream2, OOKAMI, DARWIN, ACES, Bridges-2, Rockfish","R is a programming language and software environment for statistical computing and graphics. It is widely used by statisticians and data scientists for data analysis, visualization, and statistical modeling.","Extensive statistical functions, Data manipulation and analysis, Graphics and visualization capabilities","Statistical Computing, Data Analysis, Open Source",Data Science,Statistics,Language,Statistical Software,,,
pyRosetta,Rockfish,"PyRosetta is a Python-based interface for the molecular modeling software Rosetta. It provides a versatile toolkit for protein structure prediction, design, and analysis by integrating Rosetta functionalities with Python scripting for computational biology research.","Protein modeling, Structure prediction, Molecular design","computational biology, protein structure, molecular modeling",Computational Biology,Biology,Modeling,Library,,,
Berkeley,,"Berkeley Software Distribution (BSD) refers to a family of Unix-like operating systems derived from the original Unix source code developed at the University of California, Berkeley. The BSD variants are known for their reliability, performance, and open-source nature.","Unix-like operating system with emphasis on stability and security, Variants like FreeBSD, OpenBSD, NetBSD, and DragonFlyBSD, Advanced networking capabilities and security features, Support for both desktop and server environments","operating system, Unix-like, open source",Operating Systems,Computer Science,OS Distribution,Operating System,,,
Cufflinks,Rockfish,"Cufflinks is a suite of tools for transcriptome assembly and differential expression analysis of RNA-Seq data. It helps in quantifying gene and transcript expression levels, identifying novel transcripts, and determining differential expression in RNA samples.","Transcript assembly from RNA-Seq reads, Gene and transcript expression quantification, Detection of novel transcript isoforms, Differential expression analysis, Visualization of RNA-Seq data","transcriptome analysis, RNA-Seq data, differential expression, gene expression quantification",Transcriptomics,Genomics,Open Source,Bioinformatics Tools,https://github.com/santosjorge/cufflinks,https://plotly.com/python/getting-started/,
NVHPC,"ACES, Delta, Bridges-2, Rockfish","NVHPC is a suite of compilers and tools from NVIDIA that are designed to accelerate HPC (High Performance Computing) and scientific computing applications on NVIDIA GPUs. It includes compilers, mathematical libraries, debugging, and profiling tools optimized for NVIDIA architectures.","1. High-performance compilers for C, C++, and Fortran
2. Optimized math libraries for accelerated computing
3. Debugging and profiling tools for GPU applications
4. Integration with NVIDIA GPU architectures
5. Support for parallel computing and HPC workflows","NVHPC, NVIDIA, HPC, GPU, scientific computing",High Performance Computing,Computer Science,Tool,Compiler,,,
NWCHEM,"Stampede-2, Bridges-2","NWChem aims to provide its users with computational chemistry tools that are scalable both in their ability to treat large scientific computational chemistry problems efficiently, and in their use of available parallel computing resources from high-performance parallel supercomputers to conventional workstation clusters.","Computational chemistry simulations, Quantum chemistry, Molecular dynamics, Density functional theory calculations, Post Hartree-Fock methods","computational chemistry, quantum chemistry, molecular dynamics, density functional theory, post Hartree-Fock methods",Computational Chemistry,Chemistry,Scientific Computing,Computational Software,,,
Ruby,Rockfish,"Ruby is a dynamic, object-oriented programming language known for its simplicity and productivity. It is widely used for web development, automation, data processing, and more.","Object-oriented programming, Extensive library ecosystem, Simple and readable syntax","General Purpose, Programming Language, Open Source",Web Development,Computer Science,Language,Development Environment,,,
libx11,"Anvil, Rockfish","libX11 is a library for the X Window System protocol, providing functions and utilities for interacting with the X server and managing graphical user interfaces in Unix-like systems. It enables developers to create X applications and handle window system interactions.","X Window System protocol support, Interaction with X server, Graphical user interface management, Window system operations","X Window System, graphical user interfaces, window management",Graphical User Interfaces,Computer Science,Window System,Library,,,
hoomd,Stampede-2,"HOOMD-blue (Highly Optimized Object-oriented Many-particle Dynamics code) is a powerful molecular dynamics simulation package designed for large-scale simulations of particles, polymers, and complex fluids. It provides high-performance computing capabilities for studying diverse systems.","Molecular dynamics simulations for particles, polymers, and fluids, High-performance computing for large-scale simulations, Support for diverse system types and simulation setups","Molecular Dynamics, Simulation Software, High-Performance Computing",Molecular Dynamics Simulation,Chemistry,Simulation Tool,Simulation Software,,,
Q-Chem,,"Q-Chem is an ab initio electronic structure calculation software package used for advanced quantum chemistry simulations. It provides a range of methods for accurate quantum mechanical calculations and simulations of molecular systems, including various electronic structure models and properties calculations.","Ab initio calculations, Quantum chemistry simulations, Electronic structure methods","quantum chemistry, electronic structure, ab initio calculations",Quantum Chemistry,Chemistry,Quantum Chemistry,Simulation,,,
Banner,Delta,"Banner is an enterprise resource planning (ERP) software designed for higher education institutions to manage various administrative functions such as student enrollment, course registration, financial aid, and academic records.","Integrated system for managing student information and academic processes, Modules for enrollment management, course scheduling, grading, and degree tracking, Financial aid administration and student billing functionality, Reporting and analytics tools for monitoring institutional data","ERP, higher education, student management",Higher Education Administration,Education Management,System,Enterprise Software,https://www.ellucian.com/solutions/ellucian-banner,,
